Title,Date,Ongoing End Date,Time,End Time,Setup Time,Takedown Time,Library,Location,Primary Event Type,Event Type Option 1,Event Type Option 2,Primary Age Group,Age Group Option 1,Age Group Option 2,Last Modified,Description,Additional Information,Internal Notes,Presenter,Contact Name,Contact Email,Contact Phone,Registration Required,PR Detail,Published Status,Attendance,Registered,Waiting List,Cancelled List,Shared Attendance,Optional Statistical Input 1,Optional Statistical Input 2,Optional Statistical Input 3,Optional Statistical Input 4
In Concert: IsKwé,6/6/2014,,8:00 PM,10:00 PM,8:00 PM,10:00 PM,Spadina Road,,z DO NOT USE Make Some Noise... Take Some Noise,01-Aboriginal,,Teen,Adult,,16/09/2015 3:19:46 PM,"Cree/Dene/Irish Trip Hop artist IsKwé performs at the Spadina Road library. Hailing from Winnipeg, IsKwé draws upon her Cree/Dene and Irish roots to characterize her Alternative RnB/TripHop music. IsKwé has worked with award-winning producers and was listed by the CBC as ""Top 10 Canadian Musicians You Need to Know"" and was twice covered by The Grid as ""One to Watch."" Her self-titled debut album, released October 2nd, 2013, is available for borrowing through the Toronto Public Library: http://www.torontopubliclibrary.ca/detail.jsp?Entt=RDM3108120&R=3108120",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Arts for Children & Youth: Visual Art Workshop,7/6/2014,,10:00 AM,11:30 AM,9:30 AM,12:00 PM,Evelyn Gregory,,00-Culture Arts & Entertainment,,,All Children,,,12/6/2014 17:52,"In this free 8-week workshop, children are introduced to new artistic techniques, as well as encouraged to practice those they already know. Participants learn how to use new art materials, and to create art as individuals or as part of a larger team. Each arts workshop presents opportunities for the young artists to apply their creativity and explore artistic techniques. Please call 416-394-1006 or visit Evelyn Gregory in person to register.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Chess in the Library,7/6/2014,,10:30 AM,12:30 PM,10:30 AM,12:30 PM,Malvern,,00-Hobbies Crafts & Games,,,Teen,Adult,School-Age Children,11/6/2014 14:00,"Interested in learning how to play chess? Want to play chess with others in the community? Join us for chess in the library! Featuring CFC & CMA rated games, casual chess, beginner lessons, chess puzzle competitions, simultaneous exhibitions by masters and much more! Ages 10+. Please call (416) 396-8969 for more information.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Ready for Reading Family Time,7/6/2014,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Albion,,00-Reading Programs & Storytimes,,,All Ages,,,16/06/2014 2:11:20 PM,"Songs, stories, and rhymes for the whole family.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Celebrating Italian Heritage Month - Family Time in Italian!,7/6/2014,,11:00 AM,12:00 PM,11:00 AM,12:00 PM,Downsview,Auditorium,00-Culture Arts & Entertainment,00-Reading Programs & Storytimes,00-Author Talks & Lectures,All Ages,All Children,,12/6/2014 17:26,"Join Happie Testa, co-owner of the multilingual children's bookstore Rainbow Caterpillar, as she reads delightful books to young children in both Italian and English. Happie will also be sharing some insights on how to get kids hooked on reading - and loving every minute of it. In celebration of Italian Heritage Month! Contact the Downsview Branch for more programs and information about how this branch will be celebrating all things Italian for the month of June! Please register by calling 416-395-5720, e-mail doprograms@torontopubliclibrary.ca or visit the branch. *Registration allows us to contact you if there are any program updates or cancellations.","{""smallImageURL"":""http://tpl.razuna.com/assets/3434/84CCFD4A0C754FDD9F0798ACCF9815C1/img/A25D2F67CF364930831A152E862EF1D8/Italian-Heritage-Month-150x185_A25D2F67CF364930831A152E862EF1D8.jpg"",""mediumImageURL"":""http://tpl.razuna.com/assets/3434/84CCFD4A0C754FDD9F0798ACCF9815C1/img/85033E08C1424F2CBF8CE17B0940DBD1/Italian-Heritage-Month-150x185_85033E08C1424F2CBF8CE17B0940DBD1.jpg""}",,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Family Storytime,7/6/2014,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Malvern,,00-Reading Programs & Storytimes,,,All Children,,,11/6/2014 14:00,"Stories, songs, rhymes and crafts for children with parents or caregivers.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Newcomer Women's Support Group,7/6/2014,,2:00 PM,4:00 PM,2:00 PM,4:00 PM,Agincourt,,00-ESL & Newcomer Programs,,,Adult,,,11/6/2014 16:40,Newcomer women are invited to share and learn about one another's experiences in a welcoming environment. Participants will gain knowledge and discuss important issues relevant to newcomer women. For more information please call Wen at 647-388-3762.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Toddler/Preschool Time,9/6/2014,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Yorkville,Art Gallery,01-Ready for Reading Storytimes,00-Reading Programs & Storytimes,,Pre-School Children,,,18/06/2014 1:10:35 PM,"Stories, songs, and rhymes for children age 19 months to 5 years with their parents or caregivers. No session on May 19. Registration begins on Monday, April 14, 2014 at 10 a.m. in person or by phone at 416-393-7660.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
ESL Reading Circle,9/6/2014,,4:30 PM,5:30 PM,4:30 PM,5:30 PM,Albion,,00-ESL & Newcomer Programs,,,Adult,,,16/06/2014 2:11:20 PM,Practice your English by reading with others from great books and sharing your ideas about them. Drop-in. Mondays 4:30-5:30 p.m.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
ESL Reading Circle,9/6/2014,,4:30 PM,5:30 PM,4:30 PM,5:30 PM,Albion,,00-ESL & Newcomer Programs,00-Adult Literacy,,Adult,,,16/06/2014 2:11:20 PM,Practice your English by reading with others from great books and sharing your ideas about them. No registration required.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Newcomer Youth Conversation Group,9/6/2014,,4:30 PM,5:30 PM,4:30 PM,5:30 PM,Agincourt,Program Room,00-ESL & Newcomer Programs,,,Teen,,,19/06/2014 2:22:41 PM,"Newcomer youth ages 13-18 are invited to Agincourt library to meet new friends, learn and practice English, gain new skills, get volunteer hours and more. Registration is required. Please call Agincourt branch at 416-396-8950 or Wen (library settlement worker) at 647-388-3762.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Crafts for Kids,9/6/2014,,5:00 PM,6:00 PM,5:00 PM,6:00 PM,Albion,,00-Hobbies Crafts & Games,,,All Children,,,16/06/2014 2:11:20 PM,"Get in touch with your creative side. Make something to take home using paper, scissors, colours and your imagination! All ages welcome. Parents must be present for children 6 years and younger. There will be no craft program on Monday, April 21 and Monday, May 19th.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
ESL Classes,10/6/2014,,9:30 AM,12:30 PM,9:30 AM,12:30 PM,Malvern,,00-ESL & Newcomer Programs,,,Adult,Older Adult,,13/06/2014 5:52:43 PM,"Adult English classes, CLB levels 1-2, co-sponsored with Toronto Catholic District School Board. Tuesdays, Wednesdays and Thursdays from 9:30 am to 12:30 pm. Please see instructor during class hours to register.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Preschool Time,10/6/2014,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Rexdale,,00-Reading Programs & Storytimes,,,All Children,,,26/07/2014 10:17:41 AM,The Fluffy and Patches Rabbit Story Time.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Tea and Books,10/6/2014,,2:00 PM,3:00 PM,2:00 PM,3:00 PM,Rexdale,,00-Book Clubs & Writers Groups,,,Older Adult,,,26/07/2014 10:17:41 AM,An hour long book talk and get together,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
After School Homework Club,10/6/2014,,7:00 PM,8:00 PM,7:00 PM,8:00 PM,Malvern,,00-Homework Help Leadership & After School,,,School-Age Children,,,13/06/2014 5:52:43 PM,"Tutors provide homework help and additional educational activities for students from grades 1-6. Call the branch to register, 416-396-8970 or visit www.thechamps.ca. This program is cosponsored with The Champ Initiative.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Play Reading,10/6/2014,,7:00 PM,8:30 PM,7:00 PM,8:30 PM,Yorkville,Art Gallery,00-Book Clubs & Writers Groups,00-Culture Arts & Entertainment,,Adult,Older Adult,,18/06/2014 1:10:35 PM,Everyone takes a part and reads along. For information call 416-393-7660.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
ESL Classes,11/6/2014,,9:30 AM,12:30 PM,9:30 AM,12:30 PM,Malvern,,00-ESL & Newcomer Programs,,,Adult,Older Adult,,20/06/2014 2:44:57 PM,"Adult English classes, CLB levels 1-2, co-sponsored with Toronto Catholic District School Board. Tuesdays, Wednesdays and Thursdays from 9:30 am to 12:30 pm. Please see instructor during class hours to register.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Ready for Reading Family Time,11/6/2014,,10:15 AM,10:45 AM,10:15 AM,10:45 AM,Spadina Road,,01-Ready for Reading Storytimes,,,Pre-School Children,,,26/07/2014 2:27:23 PM,"Stories, songs and rhymes for babies, tots, and preschoolers with their parents and caregivers. Ages 5 years and under. Register in branch or call 416-393-7666",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
"You May be a Target, But Don't be a Victim",11/6/2014,,1:30 PM,3:00 PM,1:30 PM,3:00 PM,Albion,,01-Boomers & Beyond,01-Seniors Month,00-Health & Wellness,Older Adult,,,16/06/2014 2:11:20 PM,"Take a proactive approach to safety be learning about preventative measures and practices. Toronto Police will discuss ""Personal Safety - Wherever You Are”; Toronto Fire Services looks at ""What's Keeping You Safe in Your Building or Home"" and Toronto Public Library introduces its “Internet Safety for Seniors” training. To register, please call 416-394-5170 or go to the Adult Information desk.","{""smallImageURL"":""http://tpl.razuna.com/assets/3434/060FDA8D8E4943A6836977C1ED437C19/img/8F3009A2AA874A23B98FCAE925C15584/senior-hula-hoop-150x185_8F3009A2AA874A23B98FCAE925C15584.jpg"",""mediumImageURL"":""http://tpl.razuna.com/assets/3434/060FDA8D8E4943A6836977C1ED437C19/img/AA2D151F273E4E5C89B20D60AA42A0AD/senior-hula-hoop-150x185_AA2D151F273E4E5C89B20D60AA42A0AD.jpg""}",,"Toronto Fire,Toronto Police,Toronto Public Library",,,,NO,,Yes,,0,0,0,,0,0,0,0
Move that Mouse (in Cantonese),11/6/2014,,2:00 PM,4:00 PM,2:00 PM,4:00 PM,Agincourt,Learning Centre,00-Computer & Library Training,,,Adult,Older Adult,,19/06/2014 2:22:41 PM,Learn basic mouse and keyboard skills in this hands-on class. This class is in Cantonese. Registration is required. Please call 416-396-8950.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
ESL Classes,12/6/2014,,9:30 AM,12:30 PM,9:30 AM,12:30 PM,Malvern,,00-ESL & Newcomer Programs,,,Adult,Older Adult,,20/06/2014 2:44:57 PM,"Adult English classes, CLB levels 1-2, co-sponsored with Toronto Catholic District School Board. Tuesdays, Wednesdays and Thursdays from 9:30 am to 12:30 pm. Please see instructor during class hours to register.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Aboriginal Celebration: Performance and Discussion,12/6/2014,,1:00 PM,2:00 PM,1:00 PM,2:00 PM,City Hall,,01-Aboriginal,00-Culture Arts & Entertainment,,All Ages,,,2/9/2015 10:35,"Join us in celebrating Canadian Aboriginal culture with a discussion and performance of song, dance and drum. Presented by the Native Canadian Centre of Toronto.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Cervical Cancer Screening & Prevention,12/6/2014,,2:00 PM,3:00 PM,2:00 PM,3:00 PM,Downsview,Program Room,00-Health & Wellness,,,Adult,Older Adult,,17/06/2014 7:31:40 PM,"Did you know that every year, about 500 women are diagnosed with cancer of the cervix and about 140 women die of this disease in Ontario? Learn more about cervical cancer and how you can reduce your risk. Presented by Toronto Public Health. For more information or to register, please call 416-395-5720, e-mail doprograms@torontopubliclibrary.ca or visit the branch.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Computer Basics for Seniors I: Move that Mouse,12/6/2014,,2:00 PM,3:30 PM,2:00 PM,3:30 PM,Agincourt,Learning Centre,00-Computer & Library Training,,,Older Adult,,,19/06/2014 2:22:41 PM,"Learn basic mouse and keyboard skills. An introduction to the Internet, in 2 sessions. For older adults with little or no Internet experience. Registration is required. Please call 416-396-8950.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Call of Gamers: Teen Video Game Nights,12/6/2014,,6:15 PM,7:45 PM,6:15 PM,7:45 PM,Malvern,,00-Hobbies Crafts & Games,,,Teen,School-Age Children,,20/06/2014 2:44:57 PM,"Join Malvern's Youth Advisory Group for a night of fun and video games including games for Wii, PS3 and XBox 360. No registration required, just drop-in and get your game on!",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Call of Gamers: Teen Video Game Nights,12/6/2014,,6:15 PM,7:45 PM,6:15 PM,7:45 PM,Malvern,,00-Hobbies Crafts & Games,,,Teen,School-Age Children,,20/06/2014 2:44:57 PM,"Join Malvern's Youth Advisory Group for a night of fun and video games including games for Wii, PS3 and XBox 360. No registration required, just drop-in and get your game on!",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
World Pride Comedy Night!,12/6/2014,,6:30 PM,8:00 PM,6:30 PM,8:00 PM,Yorkville,Art Gallery,01-LGBTQ Programs,,,Adult,,,18/06/2014 1:10:35 PM,"World Pride Comedy Night featuring stand up comedy from Toronto's finest LGBT talent: Danz Altvater, Catherine McCormick, Paul Hutcheson and Dawn Whitwell.","{""smallImageURL"":""http://tpl.razuna.com/assets/3434/A60BD5E2A2A544C5982483E7F69ADC76/img/659357D5AFBF4CAB832983997234297B/microphone1-150x185_659357D5AFBF4CAB832983997234297B.jpg"",""mediumImageURL"":""http://tpl.razuna.com/assets/3434/A60BD5E2A2A544C5982483E7F69ADC76/img/8EA48829436C479D98C0E836737D9B82/microphone1-150x185_8EA48829436C479D98C0E836737D9B82.jpg""}",,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Settlement Services,13/06/2014,,9:00 AM,12:30 PM,9:00 AM,12:30 PM,Malvern,,00-ESL & Newcomer Programs,,,Adult,Older Adult,,20/06/2014 2:44:57 PM,"Settlement services, including help with immigration documents, health care, access to education and free access to Commissioner of Oaths service are available during this time period. If you are interested in English Conversation Group, please call Mohamed at 416-757-7010 for more information. This program is co-sponsored with Catholic Crosscultural Services (CCS).",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Everyday English for Mandarin Speaking Seniors,13/06/2014,,10:00 AM,12:00 PM,10:00 AM,12:00 PM,Agincourt,Program Room,00-ESL & Newcomer Programs,,,Older Adult,,,19/06/2014 2:22:41 PM,This program is for Mandarin speaking seniors to learn everyday English and information on Canadian culture offered by Carefirst Seniors Group. To register please call Bo Hong 416-502-2323 ext. 6237.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
E-Sessions,13/06/2014,,10:00 AM,11:00 AM,10:00 AM,11:00 AM,Yorkville,Art Gallery,00-Computer & Library Training,,,Adult,,,18/06/2014 1:10:35 PM,"Bring in your reader device and/or laptop or questions and we will do our best to help you out. Space is limited. To register, call 416-393-7660.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Family Time,13/06/2014,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Rexdale,,00-Reading Programs & Storytimes,,,All Children,,,26/07/2014 10:17:41 AM,The Fluffy and Patches Rabbit Story Time.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Gamerz Challenge,13/06/2014,,4:00 PM,5:00 PM,4:00 PM,5:00 PM,Rexdale,,00-Hobbies Crafts & Games,,,All Ages,,,26/07/2014 10:17:41 AM,"Bring your game face and challenge your friends to X-Box, PS3 and Wii.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Malvern Family Movie Night!,13/06/2014,,6:00 PM,8:00 PM,6:00 PM,8:00 PM,Malvern,,00-Culture Arts & Entertainment,,,All Ages,All Children,,20/06/2014 2:44:57 PM,"Join us for a free family movie on the second Friday of the month. Bring a blanket, pillow, favourite toy and if you like, wear your pajamas! Children must be accompanied by an adult as this is a family event. Feature film to be announced. For more details, please call the branch at 416-396-8969.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Customer Appreciation Day,14/06/2014,,10:00 AM,3:00 PM,10:00 AM,3:00 PM,Agincourt,Program Room,00-Culture Arts & Entertainment,00-Reading Programs & Storytimes,,All Ages,,,19/06/2014 2:22:41 PM,"To our valued customers, please join us for a fun day of activities including a giant book sale, firefighters’ story time, craft time, steel drum performance, clogging & zumba dance and more! Light refreshments will be served. Everyone of all ages is welcome!",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Italian Storytime,14/06/2014,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Downsview,Program Room,00-Reading Programs & Storytimes,00-Culture Arts & Entertainment,,All Ages,All Children,,17/06/2014 7:31:40 PM,"We invite you to participate in two special Italian storytimes being held at the Downsview branch in honor of Italian heritage month. Led by one of the branch's Children's Librarians, the sessions will be full of popular Italian songs, rhymes and books from the library's collection. Prior knowledge of Italian is not required. This is a drop-in event. For more information please call (416) 395-5720 or e-mail us at dokids@torontopubliclibrary.ca",,,,,,,NO,,No,,0,0,0,,0,0,0,0
Ready for Reading Family Time,14/06/2014,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Albion,,00-Reading Programs & Storytimes,,,All Ages,,,17/06/2014 11:11:46 AM,"Songs, stories, and rhymes for the whole family.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Family Storytime,14/06/2014,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Malvern,,00-Reading Programs & Storytimes,,,All Children,,,20/06/2014 2:44:57 PM,"Stories, songs, rhymes and crafts for children with parents or caregivers.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Lego Club,14/06/2014,,1:00 PM,1:00 PM,1:00 PM,1:00 PM,Rexdale,,00-Hobbies Crafts & Games,,,All Children,,,26/07/2014 10:17:41 AM,What can you create with Lego?,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
ESL Reading Circle,16/06/2014,,4:30 PM,5:30 PM,4:30 PM,5:30 PM,Albion,,00-ESL & Newcomer Programs,,,Adult,,,19/06/2014 1:31:20 PM,Practice your English by reading with others from great books and sharing your ideas about them. Drop-in. Mondays 4:30-5:30 p.m.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
ESL Reading Circle,16/06/2014,,4:30 PM,5:30 PM,4:30 PM,5:30 PM,Albion,,00-ESL & Newcomer Programs,00-Adult Literacy,,Adult,,,19/06/2014 1:31:20 PM,Practice your English by reading with others from great books and sharing your ideas about them. No registration required.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Crafts for Kids,16/06/2014,,5:00 PM,6:00 PM,5:00 PM,6:00 PM,Albion,,00-Hobbies Crafts & Games,,,All Children,,,19/06/2014 1:31:20 PM,"Get in touch with your creative side. Make something to take home using paper, scissors, colours and your imagination! All ages welcome. Parents must be present for children 6 years and younger. There will be no craft program on Monday, April 21 and Monday, May 19th.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
ESL Classes,17/06/2014,,9:30 AM,12:30 PM,9:30 AM,12:30 PM,Malvern,,00-ESL & Newcomer Programs,,,Adult,Older Adult,,20/06/2014 2:44:57 PM,"Adult English classes, CLB levels 1-2, co-sponsored with Toronto Catholic District School Board. Tuesdays, Wednesdays and Thursdays from 9:30 am to 12:30 pm. Please see instructor during class hours to register.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Preschool Time,17/06/2014,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Rexdale,,00-Reading Programs & Storytimes,,,All Children,,,26/07/2014 10:17:41 AM,The Fluffy and Patches Rabbit Story Time.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Memoir Club,17/06/2014,,1:30 PM,3:00 PM,1:30 PM,3:00 PM,Rexdale,,00-Book Clubs & Writers Groups,,,Adult,,,26/07/2014 10:17:41 AM,Share and improve your memoir writing skills with your writing group.,"{""smallImageURL"":""http://node2.nirvanix.com/6FilYi_6~O_jMaY5fM_~eVuzOhx8~PUz81NGN9l~cBATAuA/razuna/3434/9406110F001E4BF18E9993492E9F0B98/img/F75DEAEF8603433D86B9333FBC4C3C53/EVT143103_F75DEAEF8603433D86B9333FBC4C3C53.jpg"",""mediumImageURL"":""http://node2.nirvanix.com/onNoX2o-~--ATr3pUWt~_H_EmTxP~bMbLKMAfoU~kH1eDWo/razuna/3434/9406110F001E4BF18E9993492E9F0B98/img/869655651DB74D43AB9CDDEC97AD1F58/EVT143103_869655651DB74D43AB9CDDEC97AD1F58.jpg""}",,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Computer Basics for Seniors II: Explore the Web,17/06/2014,,2:00 PM,3:30 PM,2:00 PM,3:30 PM,Agincourt,Learning Centre,00-Computer & Library Training,,,Older Adult,,,20/06/2014 9:27:52 AM,"An introduction to the Internet in 2 sessions. For older adults, with little or no Internet experience. Registration is required. Please call 416-396-8950.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Malvern Afternoon Book Club,17/06/2014,,2:00 PM,3:00 PM,2:00 PM,3:00 PM,Malvern,,00-Book Clubs & Writers Groups,,,Adult,Older Adult,,20/06/2014 2:44:57 PM,Join us for an exciting afternoon of great books and conversation. Please register and pick up your copy at the Information Desk. All are welcome!,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
TASSC: Findings from the TARP report & Forgotten Voices.,17/06/2014,,6:30 PM,7:30 PM,6:30 PM,7:30 PM,Spadina Road,,00-Culture Arts & Entertainment,,,All Ages,,,26/07/2014 2:27:23 PM,"The Toronto Aboriginal Support Services Council (TASSC) will discuss its advocacy role on behalf of the Toronto Aboriginal community and present findings from several research projects. Including Aboriginal LGBT*QIA, Two Spirit (at risk of being) homeless youth in Toronto. All are welcome, no registration required.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Play Reading,17/06/2014,,7:00 PM,8:30 PM,7:00 PM,8:30 PM,Yorkville,Art Gallery,00-Book Clubs & Writers Groups,00-Culture Arts & Entertainment,,Adult,Older Adult,,22/07/2014 11:26:32 AM,Everyone takes a part and reads along. For information call 416-393-7660.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
ESL Classes,18/06/2014,,9:30 AM,12:30 PM,9:30 AM,12:30 PM,Malvern,,00-ESL & Newcomer Programs,,,Adult,Older Adult,,23/06/2014 1:38:47 PM,"Adult English classes, CLB levels 1-2, co-sponsored with Toronto Catholic District School Board. Tuesdays, Wednesdays and Thursdays from 9:30 am to 12:30 pm. Please see instructor during class hours to register.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Ready for Reading Family Time,18/06/2014,,10:15 AM,10:45 AM,10:15 AM,10:45 AM,Spadina Road,,01-Ready for Reading Storytimes,,,Pre-School Children,,,26/07/2014 2:27:23 PM,"Stories, songs and rhymes for babies, tots, and preschoolers with their parents and caregivers. Ages 5 years and under. Register in branch or call 416-393-7666",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Kamal Al-Solaylee: 2013 Toronto Book Award Winner,18/06/2014,,1:00 PM,2:00 PM,1:00 PM,2:00 PM,City Hall,,01-LGBTQ Programs,01-Toronto Book Awards,00-Author Talks & Lectures,Adult,,,16/07/2014 2:51:01 PM,"Journalist, theatre critic and instructor Kamal Al-Solaylee reads from his award-winning memoir Intolerable: A Memoir of Extremes. It recounts his journey from growing up in the Middle East, coming out as a gay man, and eventually escaping religious extremism with the help of his mother.","{""smallImageURL"":""http://tpl.razuna.com/assets/3434/84CCFD4A0C754FDD9F0798ACCF9815C1/img/4D43D98F2845453B8015E7FD83723180/20101214_Al-Solaylee-150x185_4D43D98F2845453B8015E7FD83723180.jpg"",""mediumImageURL"":""http://tpl.razuna.com/assets/3434/84CCFD4A0C754FDD9F0798ACCF9815C1/img/6ECC5D3F68D1490C8FCBB65644265DEB/20101214_Al-Solaylee-150x185_6ECC5D3F68D1490C8FCBB65644265DEB.jpg""}",,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Internet Safety for Seniors,18/06/2014,,2:00 PM,3:30 PM,2:00 PM,3:30 PM,Agincourt,Learning Centre,00-Computer & Library Training,,,Older Adult,,,21/06/2014 12:05:37 PM,"Learn the basics of keeping your information safe when online. Topics covered include creating strong passwords, using email safely, how to identify and avoid online scams, shopping online securely and more. Registration is required. Please call 416-396-8950.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Lyme Disease,18/06/2014,,7:00 PM,8:00 PM,7:00 PM,8:00 PM,Downsview,Program Room,00-Health & Wellness,00-Author Talks & Lectures,,Adult,Older Adult,,26/06/2014 11:05:27 AM,"Did you know Ontario has the highest number of reported cases of Lyme infections each year? Speaker, journalist and author of Rain on a Distant Roof: A Personal Journey Through Lyme Disease in Canada, Vanessa Farnsworth will talk about the shocking details of Lyme disease as well as what is known and unknown about the disease in humans and nature in Canada. Please register by calling 416-395-5720, e-mail doprograms@torontopubliclibrary.ca or visit the branch. *Registration allows us to contact you if there are any program updates or cancellations.","{""smallImageURL"":""http://tpl.razuna.com/assets/3434/2DD8530A6EBC4DA7AB2615D5D95D4830/img/23AD502162F040599A545FEF64DD7B1F/Rain-frontcover_hires-150x185_23AD502162F040599A545FEF64DD7B1F.jpg"",""mediumImageURL"":""http://tpl.razuna.com/assets/3434/2DD8530A6EBC4DA7AB2615D5D95D4830/img/D6119AB4689843BD8AEB9D933A33CFE6/Rain-frontcover_hires-150x185_D6119AB4689843BD8AEB9D933A33CFE6.jpg""}",,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Malvern Evening Book Club,18/06/2014,,7:00 PM,8:00 PM,7:00 PM,8:00 PM,Malvern,,00-Book Clubs & Writers Groups,,,Adult,Older Adult,,13/06/2014 5:53:41 PM,Join us for an exciting evening of great books and conversation. Please register and pick up your copy at the Information Desk. All are welcome!,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
ESL Classes,19/06/2014,,9:30 AM,12:30 PM,9:30 AM,12:30 PM,Malvern,,00-ESL & Newcomer Programs,,,Adult,Older Adult,,23/06/2014 1:38:47 PM,"Adult English classes, CLB levels 1-2, co-sponsored with Toronto Catholic District School Board. Tuesdays, Wednesdays and Thursdays from 9:30 am to 12:30 pm. Please see instructor during class hours to register.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
"Celebrating Italian Heritage Month - ""Three Women"" Film Screening",19/06/2014,,11:00 AM,12:30 PM,11:00 AM,12:30 PM,Downsview,Program Room,00-Culture Arts & Entertainment,00-History & Genealogy,00-ESL & Newcomer Programs,All Ages,All Children,,26/06/2014 11:05:27 AM,"Hybrid identities that result from the merging of multiple cultures are becoming the norm in many contemporary pluralistic societies. ""Three Women"" from different generations discuss the personal changes that occurred after their immigration to Canada and explore how new identities emerged during the adaptation process. Jackie Rosati emigrated from Italy in 1932. She became a nurse and after the war she started a series of volunteer associations to help Italian immigrants. Gianna Patriarca immigrated to Canada in 1960. Although she began as a schoolteacher, she later became an accomplished writer and poet giving voice to Italian-Canadian women. Elena Basile expatriated in 1995 to pursue her Ph.D. While seeking to integrate herself in the Queer community, she discovered the challenges of Canada's multicultural diversity. By exploring changing modes of adaptation at three key historical moments in Canadian history, the documentary ""Three Women"" reveals how various challenges stimulated the women into crossing the boundaries that had held back many of their predecessors. The documentary ""Three Women"" ends with a series of questions about the meaning of adaptation in the new millennium. Join us for a special Q&A with Gianna Patriarca and Italian-Canadian film director and screenwriter, Adriana Monti after the screening of the documentary. In celebration of Italian Heritage Month! Contact the Downsview Branch for more programs and information about how this branch will be celebrating all things Italian for the month of June! Please register by calling 416-395-5720, e-mail doprograms@torontopubliclibrary.ca or visit the branch. Registration allows us to contact you if there are any program updates or cancellations.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
